case_id,true_pathology,truth_rank,candidate_pool_size,candidate_pool_has_true
test:80077,PSVT,1.0,6,True
test:80735,PSVT,1.0,5,True
test:22120,Pancreatic neoplasm,1.0,3,True
test:23208,Pancreatic neoplasm,1.0,3,True
test:36152,Pancreatic neoplasm,1.0,4,True
test:119627,Pancreatic neoplasm,1.0,3,True
test:11778,Panic attack,1.0,3,True
test:30171,Panic attack,1.0,3,True
test:93539,Panic attack,1.0,3,True
test:133618,Panic attack,1.0,5,True
test:78953,Pericarditis,1.0,4,True
test:90666,Pericarditis,1.0,3,True
test:101294,Pericarditis,1.0,3,True
test:126738,Pericarditis,1.0,4,True
test:53986,Pneumonia,1.0,3,True
test:62484,Pneumonia,1.0,3,True
test:67784,Pneumonia,1.0,4,True
test:93816,Pneumonia,2.0,4,True
test:12432,Possible NSTEMI / STEMI,1.0,3,True
test:60601,Possible NSTEMI / STEMI,1.0,4,True
test:115522,Possible NSTEMI / STEMI,1.0,3,True
test:117607,Possible NSTEMI / STEMI,1.0,3,True
test:19984,Pulmonary embolism,1.0,3,True
test:34189,Pulmonary embolism,1.0,3,True
test:55857,Pulmonary embolism,1.0,4,True
test:71152,Pulmonary embolism,1.0,3,True
test:6242,Pulmonary neoplasm,1.0,4,True
test:17496,Pulmonary neoplasm,1.0,4,True
test:26671,Pulmonary neoplasm,1.0,4,True
test:53721,Pulmonary neoplasm,1.0,4,True
test:62026,SLE,1.0,4,True
test:62463,SLE,1.0,4,True
test:117204,SLE,1.0,3,True
test:129579,SLE,1.0,4,True
test:10395,Sarcoidosis,1.0,4,True
test:101755,Sarcoidosis,1.0,3,True
test:120114,Sarcoidosis,1.0,4,True
test:128826,Sarcoidosis,1.0,3,True
test:9464,Scombroid food poisoning,1.0,3,True
test:37968,Scombroid food poisoning,1.0,4,True
test:58470,Scombroid food poisoning,1.0,3,True
test:120057,Scombroid food poisoning,1.0,3,True
test:12030,Spontaneous pneumothorax,1.0,3,True
test:37163,Spontaneous pneumothorax,1.0,3,True
test:50292,Spontaneous pneumothorax,1.0,4,True
test:113629,Spontaneous pneumothorax,1.0,4,True
test:19069,Spontaneous rib fracture,1.0,5,True
test:27034,Spontaneous rib fracture,1.0,4,True
test:69335,Spontaneous rib fracture,1.0,3,True
test:130353,Spontaneous rib fracture,1.0,5,True
test:102855,Stable angina,1.0,3,True
test:122679,Stable angina,1.0,6,True
test:127812,Stable angina,1.0,3,True
test:130201,Stable angina,1.0,4,True
test:2461,Tuberculosis,1.0,3,True
test:33420,Tuberculosis,1.0,3,True
test:94849,Tuberculosis,1.0,6,True
test:125644,Tuberculosis,1.0,3,True
test:17625,URTI,1.0,3,True
test:18962,URTI,1.0,5,True
test:21486,URTI,1.0,3,True
test:60675,URTI,1.0,3,True
test:49990,Unstable angina,1.0,3,True
test:66826,Unstable angina,1.0,4,True
test:91156,Unstable angina,1.0,3,True
test:118007,Unstable angina,1.0,3,True
test:87173,Viral pharyngitis,1.0,3,True
test:94294,Viral pharyngitis,1.0,3,True
test:119650,Viral pharyngitis,1.0,4,True
test:124382,Viral pharyngitis,1.0,3,True
test:27223,Whooping cough,1.0,5,True
test:52970,Whooping cough,1.0,5,True
test:65568,Whooping cough,1.0,3,True
test:105864,Whooping cough,1.0,5,True
