requested_evidence_id,requested_question,reveal_status,count
E_223,Are there members of your family who have been diagnosed with pancreatic cancer?,absent,1
E_223,Are there members of your family who have been diagnosed with pancreatic cancer?,present,1
E_24,Have you ever had a diagnosis of anemia?,absent,1
E_131,Do your lesions peel off?,present,1
E_25,Have any of your family members been diagnosed with cluster headaches?,present,1
E_13,Do you find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms?,absent,1
E_3,Have you ever had a pericarditis?,present,1
E_31,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,absent,1
E_31,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,present,1
E_22,Do you have a known issue with one of your heart valves?,absent,1
